the,19069
and,16260
of,11663
that,6846
to,6424
they,4472
in,3684
unto,3622
i,3305
he,3168
it,3066
their,2798
them,2634
be,2501
for,2500
shall,2483
his,2238
which,2204
a,2136
not,2066
were,2016
ye,2008
did,1988
have,1778
all,1773
had,1767
people,1737
my,1701
god,1656
came,1641
behold,1620
was,1574
lord,1552
pass,1524
with,1515
this,1428
is,1373
land,1240
yea,1226
now,1224
who,1192
by,1186
should,1175
you,1173
are,1164
him,1156
will,1118
upon,1076
as,1044
also,1029
we,1006
from,1001
but,986
things,900
me,864
there,819
our,796
because,794
come,776
many,743
these,740
been,723
your,693
up,689
lamanites,688
even,683
great,682
into,679
therefore,653
said,644
if,641
words,639
do,633
when,630
would,611
forth,604
thou,598
out,585
among,580
against,555
father,548
brethren,541
men,527
according,519
us,515
hath,513
may,513
say,508
after,503
king,492
again,478
those,478
thus,475
know,473
no,473
thy,468
might,462
man,457
one,450
